Image,F1,Jaccard,Recall,Precision
2246.png,0.7887700534759359,0.6512141280353201,0.6512141280353201,1.0
2362.png,0.46132971506105835,0.2998236331569665,0.2998236331569665,1.0
550.png,0.8795811518324608,0.7850467289719626,0.84,0.9230769230769231
2878.png,0.8522473305189968,0.7425356988316746,0.911311736590547,0.8003731343283582
1021.png,0.8737527114967462,0.775808936825886,0.8081861958266453,0.9508970727101038
197.png,0.8270233507141237,0.7050637804406649,0.7304765718862635,0.9529780564263323
1274.png,0.9499389499389499,0.9046511627906977,0.9923469387755102,0.9110070257611241
915.png,0.7698412698412698,0.6258064516129033,0.6354702854468881,0.9762760603882099
2360.png,0.6038592508513054,0.432520325203252,0.504424778761062,0.7521206409048068
1553.png,0.7904411764705882,0.6534954407294833,0.6635802469135802,0.9772727272727273
2262.png,0.9559322033898306,0.9155844155844156,0.9543147208121827,0.9575551782682513
2096.png,0.7741935483870969,0.631578947368421,0.6608391608391608,0.934487021013597
2385.png,0.926774734488541,0.8635416666666667,0.8662486938349008,0.9963942307692307
2073.png,0.5666502705361535,0.3953328757721345,0.3998611593196807,0.9721518987341772
979.png,0.8907721280602635,0.8030560271646859,0.8085470085470086,0.9916142557651991
1658.png,0.8048780487804879,0.673469387755102,0.7071428571428572,0.9339622641509434
864.png,0.5085178875638843,0.3409480296973158,0.3431034482758621,0.9819078947368421
2571.png,0.8693994280266921,0.7689713322091062,0.7689713322091062,1.0
1269.png,0.9080779944289694,0.8316326530612245,0.8763440860215054,0.9421965317919075
985.png,0.5830508474576271,0.41148325358851673,0.44559585492227977,0.8431372549019608
847.png,0.004932182490752157,0.002472187886279357,0.002472187886279357,1.0
1218.png,0.7837837837837838,0.6444444444444445,0.7631578947368421,0.8055555555555556
926.png,0.9292649098474342,0.8678756476683938,0.9911242603550295,0.8746736292428199
2029.png,0.8793565683646113,0.784688995215311,0.7951515151515152,0.9835082458770614
559.png,0.840255591054313,0.7245179063360881,0.7265193370165746,0.9962121212121212
16.png,0.7908045977011494,0.6539923954372624,0.9662921348314607,0.669260700389105
1972.png,0.6359583952451708,0.4662309368191721,0.4662309368191721,1.0
2837.png,0.0,0.0,0.0,0.0
1050.png,0.9209383145091227,0.8534621578099839,0.8622559652928417,0.9881914232442511
2971.png,0.5817770232031692,0.41021548284118114,0.41021548284118114,1.0
1988.png,0.0,0.0,0.0,0.0
949.png,0.8635014836795253,0.7597911227154047,0.8174157303370787,0.9150943396226415
2633.png,0.0,0.0,0.0,0.0
1410.png,0.8571428571428571,0.75,0.7854889589905363,0.9431818181818182
1118.png,0.9153924566768604,0.8439849624060151,0.9739696312364425,0.8634615384615385
1185.png,0.9754224270353302,0.952023988005997,0.9570459683496609,0.9945184025058731
1726.png,0.9171483622350673,0.8469750889679716,0.9515242378810594,0.8851696885169689
880.png,0.5693430656934307,0.3979591836734694,0.9971590909090909,0.39841089670828606
